Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	-0.028610	-0.004206	0.596430	0.000000	0.082838	-0.165675	0.000000	-0.235825	-0.000000	-1.862399	100.730484	-1.862399	-0.497025	0.000000	-1.218042
1.000000	0.000000	-0.028610	-0.004206	0.596430	0.000000	0.165675	-0.165675	-0.000001	0.000000	-0.000000	-1.862399	100.730484	-1.862287	-0.497025	0.000000	-1.218042
2.000000	0.000000	0.000000	0.000000	0.596430	0.000000	0.082838	-0.165675	0.000000	0.235825	-0.000000	-1.551999	100.730484	-1.551999	-0.497025	0.000000	-1.218042
3.000000	2.330097	0.000000	0.000000	4.473228	0.165675	2.650802	-0.248513	0.002945	0.000000	-0.000000	-1.862399	100.730484	-1.862287	-0.414188	0.000321	-1.218042
4.000000	46.601942	2.660751	0.391201	22.067928	9.774833	44.980797	-0.414188	-0.245436	170.425265	2.260208	-1.551999	100.730484	-0.310418	-0.082838	0.005104	-1.218042
5.000000	46.601942	48.637386	7.150986	42.644779	14.330899	-0.745538	-0.165675	-0.009754	527.735369	45.661922	-0.931199	100.730484	-2.483198	-0.414188	0.006124	-1.218042
6.000000	46.601942	45.146938	6.637798	13.419685	5.632955	4.970254	-0.248513	-0.061506	119.956611	45.375820	-2.483347	100.730484	-0.620837	-0.165675	0.015066	-1.218042
7.000000	46.601942	46.749111	6.873360	19.682205	2.650802	-0.911213	-0.082838	-0.033602	161.950369	45.948025	-0.931255	100.730484	-1.241599	-0.828376	0.015177	-1.218042
8.000000	46.601942	47.178265	6.936457	-8.051811	1.905264	0.828376	-0.248513	0.087857	152.286189	47.636028	-1.241599	100.730484	-2.793765	-0.745538	0.004358	-1.218042
9.000000	46.601942	46.176907	6.789230	8.946457	1.739589	1.739589	-0.248513	0.008690	140.484192	46.033855	-2.483495	100.730484	-0.931255	-0.248513	0.004618	-1.218042
10.000000	46.601942	46.977993	6.907011	-0.596430	0.911213	-0.165675	-0.248513	0.056396	155.349742	46.892162	-1.862510	100.730484	-1.241748	-0.745538	0.013075	-1.218042
11.000000	46.601942	46.062466	6.772405	2.385722	1.739589	4.141878	-0.248513	0.034585	141.190452	46.577450	-1.241748	100.730484	-2.483644	-0.662701	0.004685	-1.218042
12.000000	46.601942	46.663280	6.860740	13.419685	1.905264	1.491076	-0.248513	0.027569	153.695578	45.890804	-2.483644	100.730484	-0.931311	-0.248513	0.004646	-1.218042
13.000000	46.601942	46.634670	6.856534	7.157166	0.911213	2.153777	-0.248513	0.008856	148.507124	46.606060	-2.483495	100.730484	-0.931311	-0.745538	0.013653	-1.218042
