Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	-0.028610	-0.010922	0.000000	0.000000	0.000000	-0.248513	0.000000	-0.235825	-0.000000	-1.863402	100.730484	-1.863402	-0.414188	0.000000	-1.218032
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.235825	-0.000000	-1.863402	100.730484	-1.552835	-0.497025	0.000000	-1.218032
2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.000000	-0.000000	-1.552835	100.730484	-1.552835	-0.414188	0.000000	-1.218032
3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.000000	-0.000000	-1.552928	100.730484	-1.552835	-0.414188	0.000000	-1.218032
4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.000000	-0.000000	-1.863402	100.730484	-1.552835	-0.414188	0.000000	-1.218032
5.000000	5.238850	0.000000	0.000000	0.000000	0.000000	5.053092	-0.248513	0.013009	0.000000	0.457764	-1.552835	100.730484	-1.863291	-0.497025	0.001608	-1.218032
6.000000	10.477699	4.549026	1.736651	16.700054	2.485127	4.638904	-0.165675	0.017020	185.991268	8.068084	-1.862733	100.730484	-2.173189	-0.579863	0.001940	-1.218032
7.000000	15.716549	10.786056	4.117719	3.280368	0.745538	2.982152	-0.248513	0.013992	199.915937	11.129378	-1.862733	100.730484	-1.862845	-0.579863	0.004350	-1.218032
8.000000	20.955398	16.164778	6.171117	9.244673	1.988102	3.479178	-0.165675	0.008331	192.857866	17.595289	-2.173189	100.730484	-1.241822	-0.331350	0.002671	-1.218032
9.000000	26.194248	21.400450	8.169903	4.473228	1.325401	6.875518	-0.248513	0.008564	191.701377	21.743773	-0.310456	100.730484	-1.862622	-0.497025	0.007181	-1.218032
10.000000	31.433097	26.121138	9.972088	14.314331	3.313503	4.059041	-0.165675	0.034379	187.482339	27.294157	-2.483495	100.647644	-1.862733	-0.497025	0.006357	-1.218032
11.000000	36.671947	31.127928	11.883496	8.946457	1.656751	6.295655	-0.248513	0.017337	189.873564	33.044811	-2.173189	100.730484	-0.620874	-0.745538	0.010924	-1.218032
12.000000	41.910796	36.220547	13.827670	12.823256	2.816477	1.656751	-0.248513	-0.018538	190.620482	37.736889	-2.483495	100.730484	-0.620911	-0.745538	0.012649	-1.218032
13.000000	47.149646	41.942593	16.012137	13.419685	2.402289	5.301604	-0.331350	0.009478	195.860100	43.172832	-0.620874	100.730484	-1.552185	-0.414188	0.008213	-1.218032
14.000000	52.388495	46.348568	17.694176	13.717901	2.982152	2.236614	-0.248513	0.045449	185.056912	47.750469	-1.241748	100.730484	-2.793932	-0.745538	0.015946	-1.218032
15.000000	57.627345	52.356716	19.987866	5.367874	2.153777	4.887416	-0.248513	0.112899	198.331330	52.814480	-0.931367	100.730484	-2.483644	-0.662701	0.009878	-1.218032
16.000000	62.866194	58.622356	22.379856	-0.894646	1.656751	4.224716	-0.165675	0.095873	200.533753	58.937069	-1.552278	100.730484	-2.794100	-0.414188	0.010632	-1.218032
17.000000	68.105044	64.144127	24.487865	1.491076	2.650802	0.414188	-0.165675	0.270854	194.480266	63.257214	-1.862733	100.730484	-1.862733	-0.497025	0.015888	-1.218032
18.000000	73.343893	66.032402	25.208739	36.978691	6.627006	7.206868	-0.165675	-0.190083	164.558824	69.837563	-1.241822	100.730484	-1.862622	-0.579863	0.015418	-1.218032
19.000000	78.582743	75.559608	28.845875	-14.612547	5.715792	12.259960	-0.082838	0.352138	227.679250	72.698586	-1.241748	100.730484	-1.552185	-0.414188	0.020795	-1.218032
20.000000	78.582743	77.161781	29.457526	19.682205	3.313503	4.307553	-0.248513	0.133899	162.383923	78.535072	-1.551999	100.730484	-2.172929	-0.497025	0.014457	-1.218032
21.000000	78.582743	78.964226	30.145633	3.876798	1.905264	1.076888	-0.165675	0.012151	164.067072	78.849785	-1.862622	100.730484	-1.862510	-0.414188	0.012481	-1.218032
22.000000	78.582743	78.535072	29.981798	8.648242	1.325401	0.662701	-0.248513	0.029034	145.664960	79.078667	-1.862510	100.730484	-1.862622	-0.497025	0.012714	-1.218032
23.000000	78.582743	79.078667	30.189322	2.385722	1.491076	1.325401	-0.165675	0.038383	153.692861	78.306190	-1.552092	100.730484	-1.552185	-0.497025	0.015659	-1.218032
24.000000	78.582743	78.964226	30.145633	8.648242	1.491076	3.313503	-0.165675	-0.014833	148.266809	78.506462	-1.552278	100.730484	-1.862845	-0.497025	0.014946	-1.218032
25.000000	78.582743	78.220360	29.861652	6.560735	1.408239	-0.745538	-0.248513	0.067196	143.065211	78.935616	-1.862733	100.730484	-1.862733	-0.497025	0.012864	-1.218032
26.000000	78.582743	78.678123	30.036409	11.332179	1.408239	0.497025	-0.248513	0.070036	152.978117	78.907005	-1.552371	100.730484	-1.862733	-0.414188	0.012832	-1.218032
27.000000	78.582743	78.678123	30.036409	-0.596430	1.325401	-0.165675	-0.248513	0.091704	149.204919	78.020088	-1.552092	100.730484	-1.552185	-0.497025	0.015458	-1.218032
28.000000	78.582743	78.449242	29.949031	11.928610	1.656751	3.313503	-0.248513	0.032685	147.314183	78.220360	-1.552185	100.730484	-1.862622	-0.497025	0.012426	-1.218032
29.000000	78.582743	78.077309	29.807040	11.630394	1.573914	1.822426	-0.248513	0.055057	146.128361	78.735344	-1.552185	100.730484	-1.862622	-0.497025	0.012552	0.000000
30.000000	78.582743	78.277580	29.883497	5.069659	1.491076	1.408239	-0.165675	0.014490	150.848460	78.935616	-1.862733	100.730484	-1.862733	-0.414188	0.012580	-1.218032
31.000000	78.582743	78.992836	30.156555	5.069659	1.325401	1.242563	-0.165675	0.083904	155.106249	78.678123	-1.552185	100.730484	-1.552185	-0.497025	0.015687	-1.218032
32.000000	78.582743	79.364769	30.298545	-1.192861	1.242563	3.727690	-0.248513	0.035011	152.283127	78.678123	-1.552185	100.730484	-1.552185	-0.497025	0.015653	-1.218032
33.000000	78.582743	77.991478	29.774273	6.858951	1.739589	3.727690	-0.248513	0.004984	137.872951	78.191750	-1.552278	100.730484	-1.862845	-0.497025	0.012543	-1.218032
34.000000	78.582743	78.706734	30.047332	10.735748	1.325401	0.414188	-0.248513	0.069881	155.101058	79.135887	-1.862733	100.730484	-1.862733	-0.497025	0.012892	-1.218032
35.000000	78.582743	78.907005	30.123788	-2.385722	1.325401	1.408239	-0.165675	0.040676	150.859843	79.364769	-1.862733	100.730484	-1.862733	-0.414188	0.012752	-1.218032
36.000000	78.582743	78.763954	30.069176	1.192861	1.491076	2.733640	-0.248513	0.087372	148.027350	77.991478	-1.552278	100.730484	-1.552278	-0.414188	0.015565	-1.218032
37.000000	78.582743	78.020088	29.785196	10.735748	1.656751	2.319452	-0.165675	0.000000	143.061611	78.792564	-1.552278	100.730484	-1.552185	-0.414188	0.015012	-1.218032
38.000000	78.582743	78.191750	29.850730	5.367874	1.491076	-0.911213	-0.248513	0.074645	150.611091	79.050056	-1.862622	100.730484	-1.862622	-0.497025	0.012901	-1.218032
39.000000	78.582743	79.021446	30.167477	8.051811	1.325401	0.082838	-0.165675	0.099200	156.050068	78.821175	-1.862733	100.730484	-1.862733	-0.414188	0.015448	-1.218032
40.000000	78.582743	78.277580	29.883497	0.298215	1.739589	3.976203	-0.248513	0.032685	143.066241	77.962868	-1.552278	100.730484	-1.862622	-0.497025	0.015279	-1.218032
41.000000	78.582743	78.277580	29.883497	10.735748	1.656751	0.082838	-0.248513	0.002501	149.197687	78.449242	-1.552092	100.730484	-1.862622	-0.497025	0.015161	0.000000
42.000000	78.582743	78.163139	29.839807	12.823256	1.491076	1.408239	-0.165675	0.028959	148.252328	78.849785	-1.552092	100.730484	-1.862622	-0.497025	0.012611	-1.218032
43.000000	78.582743	78.563683	29.992720	1.192861	1.408239	1.242563	-0.165675	0.035891	152.504397	79.164497	-1.862510	100.730484	-1.862510	-0.414188	0.012700	-1.218032
44.000000	78.582743	78.935616	30.134710	7.455381	1.408239	2.899315	-0.165675	0.087247	152.275311	78.334801	-1.552092	100.730484	-1.552092	-0.497025	0.015720	-1.218032
45.000000	78.582743	77.962868	29.763351	4.771444	1.573914	3.147828	-0.248513	0.012357	141.173985	78.277580	-1.552092	100.730484	-1.862510	-0.497025	0.012476	-1.218032
46.000000	78.582743	78.020088	29.785196	11.332179	1.739589	0.165675	-0.248513	0.004941	149.664706	79.078667	-1.862510	100.730484	-1.862733	-0.497025	0.015028	-1.218032
47.000000	78.582743	78.964226	30.145633	-0.596430	1.325401	2.816477	-0.248513	0.081929	156.992328	79.164497	-1.862622	100.730484	-1.862622	-0.414188	0.012951	-1.218032
48.000000	78.582743	79.135887	30.211166	-3.280368	1.159726	-0.911213	-0.165675	0.081717	150.628180	77.934258	-1.862510	100.730484	-1.552185	-0.414188	0.012905	-1.218032
49.000000	81.202168	78.449242	29.949031	16.700054	1.822426	4.638904	-0.165675	0.115540	143.540986	77.962868	-1.552185	100.730484	-1.862622	-0.497025	0.015346	-1.218032
50.000000	78.582743	81.281654	31.030341	16.401838	2.153777	4.556066	-0.248513	-0.076204	172.599490	81.996910	-1.862622	100.730484	-1.862622	-0.331350	0.009926	-1.218032
51.000000	78.582743	79.507820	30.353157	-9.244673	1.905264	-2.567965	-0.165675	0.077751	134.598880	77.562325	-1.552185	100.730484	-1.552278	-0.414188	0.015794	-1.218032
52.000000	78.582743	78.392021	29.927186	1.789291	0.994051	3.976203	-0.248513	0.116351	140.002581	77.791206	-1.552278	100.730484	-1.552278	-0.414188	0.015505	-1.218032
53.000000	78.582743	78.277580	29.883497	8.946457	1.491076	1.905264	-0.248513	0.057252	148.254387	78.792564	-1.552278	100.730484	-1.552278	-0.414188	0.012581	-1.218032
54.000000	78.582743	78.248970	29.872574	5.069659	1.491076	-0.745538	-0.165675	0.079638	148.961347	79.078667	-1.862622	100.730484	-1.862733	-0.497025	0.012915	-1.218032
55.000000	78.582743	78.907005	30.123788	8.051811	1.242563	0.579863	-0.165675	0.097174	154.633040	78.706734	-1.862845	100.730484	-1.552278	-0.414188	0.012971	-1.218032
56.000000	78.582743	79.221718	30.243933	0.298215	1.242563	3.727690	-0.165675	0.040142	151.808867	78.020088	-1.552278	100.730484	-1.862733	-0.497025	0.015297	0.000000
57.000000	78.582743	78.191750	29.850730	11.928610	1.656751	3.313503	-0.248513	0.002507	140.706448	78.334801	-1.862622	100.730484	-1.862622	-0.497025	0.015179	-1.218032
