Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.000000	-0.000000	-1.551627	100.730484	-1.551627	-0.414188	0.000000	-1.218032
1.000000	0.000000	-0.028610	-0.004206	0.000000	0.000000	0.000000	-0.248513	0.000000	-0.235825	-0.000000	-1.861953	100.730484	-1.551534	-0.414188	0.000000	-1.218032
2.000000	0.000000	-0.028610	-0.004206	0.000000	0.000000	0.000000	-0.165675	0.000000	0.000000	-0.000000	-1.551627	100.730484	-1.861953	-0.497025	0.000000	-1.218032
3.000000	0.000000	-0.028610	-0.004206	0.000000	0.000000	0.000000	-0.165675	0.000000	0.000000	-0.000000	-1.861953	100.730484	-1.551627	-0.414188	0.000000	-1.218032
4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.165675	0.000000	0.235825	-0.000000	-1.861953	100.730484	-1.551627	-0.414188	0.000000	-1.218032
5.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	0.000000	-0.000000	-1.551534	100.730484	-1.551627	-0.414188	0.000000	-1.218032
6.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.165675	0.000000	0.000000	-0.000000	-1.551534	100.730484	-1.551534	-0.414188	0.000000	-1.218032
7.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.165675	0.000000	0.000000	-0.000000	-1.551627	100.730484	-1.551627	-0.414188	0.000000	-1.218032
8.000000	0.000000	-0.028610	-0.004206	0.000000	0.000000	0.000000	-0.248513	0.000000	-0.235825	-0.000000	-1.861841	100.730484	-1.551534	-0.414188	0.000000	-1.218032
9.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.165675	0.000000	0.235825	-0.000000	-1.551627	100.730484	-1.861953	-0.414188	0.000000	-1.218032
10.000000	0.000000	-0.028610	-0.004206	0.000000	0.000000	0.000000	-0.248513	0.000000	-0.235825	-0.000000	-1.861953	100.730484	-1.861841	-0.414188	0.000000	0.000000
