Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power
0.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.248513	-0.248513	0.000003
1.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.165675	-0.248513	0.000003
2.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.248513	-0.248513	0.000002
3.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.165675	-0.248513	0.000003
4.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.165675	-0.248513	0.000002
5.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.248513	-0.248513	0.000003
6.000000	0.000000	-0.028610	-0.749014	-0.596430	0.000000	-0.248513	-0.248513	0.000000
7.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.248513	-0.248513	0.000000
8.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.248513	-0.248513	0.000000
9.000000	0.000000	-0.028610	-0.749014	-0.894646	0.000000	-0.165675	-0.248513	0.000003
10.000000	10.610329	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000002
11.000000	21.220658	11.615752	304.099682	-13.121470	2.402289	3.147828	-0.248513	-0.002394
12.000000	31.830987	21.457670	561.760493	-2.683937	0.579863	1.905264	-0.248513	-0.003828
13.000000	42.441316	32.587048	853.126911	-7.455381	1.573914	2.567965	-0.248513	-0.003710
14.000000	53.051645	40.311810	1055.360706	-0.596430	0.497025	-0.082838	0.000000	-0.001042
15.000000	63.661973	23.746489	621.681617	0.000000	0.000000	-0.082838	-0.082838	-0.001124
16.000000	74.272302	9.784698	256.162782	-0.298215	0.000000	0.000000	0.000000	0.000000
17.000000	84.882631	0.085831	2.247042	-0.894646	0.000000	-0.165675	-0.082838	0.000000
18.000000	95.492960	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.082838	0.000003
19.000000	106.103289	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.082838	0.000003
20.000000	116.713618	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.082838	0.000000
21.000000	127.323947	-0.028610	-0.749014	-0.894646	0.000000	-0.248513	-0.082838	0.000002
22.000000	137.934276	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.082838	0.000003
23.000000	148.544605	-0.028610	-0.749014	-0.596430	0.000000	-0.165675	-0.082838	0.000000
