Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000000	NaN
0.100000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.248513	0.000000	-Inf
0.200000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.248513	-0.248513	0.000003	NaN
0.300000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000000	NaN
0.400000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.248513	-0.248513	0.000003	NaN
0.500000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.248513	0.000000	-Inf
0.600000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000000	NaN
0.700000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.248513	0.000003	-Inf
0.800000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000000	NaN
0.900000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.248513	-0.248513	0.000000	NaN
1.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.248513	0.000003	NaN
1.100000	0.212207	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.248513	0.000003	-Inf
1.200000	0.424413	0.000000	0.000000	0.596430	0.000000	0.248513	-0.165675	0.000016	NaN
1.300000	0.636620	0.286102	0.026965	0.596430	0.000000	0.248513	-0.165675	-0.000051	Inf
1.400000	0.848826	0.514984	0.048536	-0.298215	0.000000	0.497025	-0.165675	0.000022	Inf
1.500000	1.061033	0.743866	0.070108	1.491076	0.000000	0.745538	-0.248513	0.000000	Inf
1.600000	1.273239	0.972748	0.091679	0.298215	0.000000	1.159726	-0.248513	0.000000	Inf
1.700000	1.485446	1.201630	0.113251	-0.298215	0.000000	1.159726	-0.165675	0.000093	Inf
1.800000	1.697653	1.516342	0.142912	-0.894646	0.000000	1.159726	-0.165675	0.000192	Inf
1.900000	1.909859	1.573563	0.148305	0.298215	0.000000	0.911213	-0.248513	-0.000123	Inf
2.000000	2.122066	2.002716	0.188752	-0.894646	0.000000	0.331350	-0.165675	0.000115	Inf
2.100000	2.334272	1.945495	0.183359	3.280368	0.000000	-0.082838	-0.165675	0.001038	Inf
2.200000	2.546479	2.002716	0.188752	5.069659	0.000000	-0.248513	-0.165675	0.001103	Inf
2.300000	2.758686	2.231598	0.210323	5.069659	0.000000	-0.331350	-0.165675	0.000886	Inf
2.400000	2.970892	2.174377	0.204930	5.069659	0.082838	-0.414188	-0.165675	0.001490	Inf
2.500000	3.183099	2.374649	0.223805	8.648242	0.331350	-1.076888	-0.248513	0.001694	Inf
2.600000	3.395305	2.374649	0.223805	10.139318	0.745538	-1.573914	-0.165675	0.002954	Inf
2.700000	3.607512	2.489090	0.234591	9.542888	1.159726	-1.408239	-0.165675	0.004825	Inf
2.800000	3.819718	2.889633	0.272341	10.437533	1.242563	-0.994051	-0.165675	0.002416	Inf
2.900000	4.031925	2.946853	0.277734	11.630394	1.491076	-1.822426	-0.165675	0.002123	Inf
3.000000	4.244132	3.805160	0.358628	-5.666090	1.656751	3.562015	-0.248513	-0.003031	Inf
3.100000	4.456338	4.920959	0.463789	-3.876798	1.905264	-0.248513	-0.248513	0.001858	Inf
3.200000	4.668545	4.920959	0.463789	-2.683937	1.491076	0.165675	-0.165675	0.002727	Inf
3.300000	4.880751	4.034042	0.380199	9.244673	0.994051	-1.573914	-0.165675	0.003297	Inf
3.400000	5.092958	4.663467	0.439521	-1.789291	0.497025	2.153777	-0.248513	-0.002289	Inf
3.500000	5.305164	5.350112	0.504236	-2.385722	0.331350	1.822426	-0.248513	0.000000	Inf
3.600000	5.517371	5.235672	0.493450	3.578583	0.165675	-0.745538	-0.248513	0.002573	Inf
3.700000	5.729578	5.207061	0.490754	1.789291	0.000000	0.994051	-0.165675	-0.000584	Inf
3.800000	5.941784	5.922317	0.558165	-2.982152	0.000000	1.491076	-0.165675	0.000146	Inf
3.900000	6.153991	6.036758	0.568951	1.789291	0.082838	-0.414188	-0.165675	0.002654	Inf
4.000000	6.366197	5.750656	0.541987	4.771444	0.082838	-0.082838	-0.248513	0.000000	Inf
4.100000	6.578404	6.380081	0.601308	-1.789291	0.000000	1.988102	-0.248513	-0.001867	Inf
4.200000	6.790611	6.580352	0.620184	-2.982152	0.082838	1.739589	-0.165675	-0.000911	Inf
4.300000	7.002817	6.895065	0.649845	2.087507	0.082838	-0.082838	-0.165675	0.003448	Inf
