Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.082838	-0.248513	0.000001	NaN
1.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.082838	-0.248513	0.000000	-Inf
2.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.165675	-0.248513	0.000000	NaN
3.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.082838	-0.248513	0.000001	NaN
4.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.082838	-0.248513	0.000000	-Inf
5.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.082838	-0.248513	0.000000	-Inf
6.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.248513	0.000001	NaN
7.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.082838	-0.248513	0.000002	NaN
8.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000001	-Inf
9.000000	0.000000	0.000000	0.000000	-0.298215	0.000000	-0.082838	-0.248513	0.000000	NaN
10.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000000	-Inf
11.000000	0.000000	-0.028610	-0.002696	-0.298215	0.000000	-0.082838	-0.248513	0.000000	-Inf
12.000000	0.742723	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000000	-Inf
13.000000	6.047887	0.858307	0.080894	0.298215	0.000000	0.911213	-0.165675	0.000000	Inf
14.000000	19.098592	5.378723	0.506933	-8.648242	2.982152	0.745538	-0.248513	0.001745	Inf
15.000000	35.014085	20.112989	1.895605	2.982152	4.556066	-2.319452	-0.165675	0.035542	Inf
16.000000	46.367137	36.277767	3.419099	3.280368	5.798630	-2.899315	-0.248513	0.078291	Inf
17.000000	59.736152	46.577450	4.389821	-14.314331	4.721741	7.124031	-0.248513	-0.085827	Inf
18.000000	76.712678	59.394833	5.597831	27.137587	7.041193	-7.372543	-0.165675	0.201795	Inf
19.000000	91.991552	78.706734	7.417935	6.858951	9.360645	-5.053092	-0.165675	0.278599	Inf
20.000000	97.296716	92.525475	8.720321	-20.278637	6.295655	9.112132	-0.248513	-0.204540	Inf
21.000000	99.418782	96.788399	9.122092	21.471497	4.390391	-4.141878	-0.082838	0.230247	Inf
22.000000	100.055402	100.021355	9.426791	-7.455381	2.319452	4.638904	-0.248513	-0.067441	Inf
23.000000	101.859158	100.650780	9.486113	-1.491076	1.325401	2.153777	-0.248513	0.027734	Inf
24.000000	102.920190	101.909630	9.604756	5.069659	0.331350	0.662701	-0.165675	0.073013	Inf
25.000000	108.968078	102.710716	9.680257	4.771444	0.331350	1.491076	-0.248513	0.025846	Inf
26.000000	112.787796	109.777443	10.346280	2.087507	3.313503	0.248513	-0.165675	0.136638	Inf
27.000000	120.639440	113.010399	10.650979	1.192861	0.579863	2.070939	-0.248513	0.028319	Inf
28.000000	129.446013	122.079842	11.505754	-5.666090	4.390391	1.242563	-0.248513	0.138659	Inf
29.000000	138.252586	129.346832	12.190652	11.928610	2.567965	3.147828	-0.248513	0.019871	Inf
30.000000	146.104229	137.529358	12.961837	17.892914	2.816477	1.656751	-0.165675	0.110297	Inf
31.000000	150.348361	146.970734	13.851665	-2.087507	2.567965	2.070939	-0.248513	0.099029	Inf
32.000000	153.107046	150.604233	14.194115	3.876798	1.242563	1.408239	-0.248513	0.018756	Inf
33.000000	155.229112	153.579697	14.474545	0.000000	1.325401	2.485127	-0.248513	0.056985	Inf
34.000000	157.032868	155.353531	14.641725	6.262520	1.159726	0.745538	-0.248513	0.033786	Inf
35.000000	157.351178	157.070145	14.803512	2.982152	0.414188	2.070939	-0.248513	0.058744	Inf
36.000000	156.290145	157.356247	14.830477	5.964305	0.331350	1.076888	-0.165675	0.078425	Inf
37.000000	150.984980	156.040176	14.706440	6.262520	0.994051	0.331350	-0.165675	0.156564	Inf
38.000000	141.117375	151.576981	14.285794	9.244673	1.988102	1.408239	-0.248513	0.033423	Inf
39.000000	130.825355	140.476212	13.239571	1.192861	3.479178	3.810528	-0.165675	0.228655	Inf
40.000000	122.337092	130.720123	12.320081	-4.175014	3.562015	-2.319452	-0.165675	0.150628	Inf
41.000000	114.273242	121.393196	11.441039	6.858951	3.313503	2.070939	-0.165675	-0.042861	Inf
42.000000	102.601881	113.639824	10.710301	7.753596	1.822426	1.325401	-0.165675	0.161387	Inf
43.000000	88.808453	103.368752	9.742275	20.875067	5.053092	-1.076888	-0.248513	0.003354	Inf
44.000000	78.516434	87.490074	8.245745	8.946457	4.224716	1.325401	-0.165675	0.202446	Inf
45.000000	73.953993	77.733986	7.326256	4.175014	3.064990	2.153777	-0.165675	0.140146	Inf
46.000000	72.150237	74.129097	6.986503	6.858951	0.745538	0.579863	-0.165675	0.025789	Inf
47.000000	68.967138	72.154991	6.800448	1.789291	0.165675	0.414188	-0.165675	0.034068	Inf
48.000000	65.041316	68.893425	6.493052	-1.192861	1.076888	-1.491076	-0.165675	0.059778	Inf
49.000000	62.919250	64.516060	6.080495	7.157166	0.745538	0.331350	-0.165675	0.020746	Inf
50.000000	62.919250	62.971111	5.934887	0.298215	0.331350	2.236614	-0.165675	0.029927	Inf
51.000000	61.539908	62.828060	5.921405	-1.192861	0.414188	1.656751	-0.248513	0.013503	Inf
52.000000	55.492020	60.739513	5.724564	8.648242	1.325401	0.082838	-0.165675	0.086684	Inf
53.000000	46.367137	55.589672	5.239203	-4.473228	2.153777	-1.491076	-0.165675	0.038089	Inf
54.000000	42.759626	47.750469	4.500376	-15.208978	3.644853	3.313503	-0.248513	-0.050006	Inf
55.000000	42.441316	42.457577	4.001532	13.419685	2.236614	-2.650802	-0.165675	0.068806	Inf
56.000000	42.441316	42.343136	3.990747	-0.894646	1.242563	-1.408239	-0.165675	0.033151	Inf
57.000000	42.441316	43.172832	4.068944	-7.753596	1.491076	3.313503	-0.331350	-0.017700	Inf
58.000000	43.502349	41.656490	3.926032	13.717901	1.491076	-1.988102	-0.165675	0.046877	Inf
59.000000	44.563381	44.202801	4.166016	-5.964305	1.076888	2.485127	-0.165675	-0.026499	Inf
60.000000	51.990612	45.003887	4.241516	3.578583	1.988102	-0.414188	-0.165675	-0.029563	Inf
61.000000	54.112677	51.784512	4.880575	13.121470	2.816477	2.816477	-0.248513	-0.001531	Inf
62.000000	56.234743	53.930279	5.082809	1.192861	0.662701	2.153777	-0.165675	-0.013731	Inf
63.000000	57.295776	56.705471	5.344365	-7.753596	1.739589	4.307553	-0.248513	-0.048133	Inf
64.000000	60.478875	57.191845	5.390204	11.033964	1.822426	-1.905264	-0.082838	0.088217	Inf
65.000000	62.919250	59.909817	5.646367	2.683937	1.988102	2.485127	-0.165675	-0.036855	Inf
66.000000	63.980283	63.657757	5.999602	1.192861	2.982152	-0.248513	-0.165675	0.079442	Inf
67.000000	65.041316	63.343044	5.969941	5.666090	1.325401	1.076888	-0.165675	-0.006154	Inf
68.000000	71.831927	65.460197	6.169478	-7.157166	1.739589	4.141878	-0.248513	-0.048033	Inf
69.000000	82.017842	72.383873	6.822019	7.753596	3.810528	-1.739589	-0.165675	0.133802	Inf
70.000000	93.689204	83.370201	7.857456	-5.964305	4.141878	1.325401	-0.248513	0.068622	Inf
71.000000	105.360566	94.585411	8.914465	-15.507193	3.893366	6.544168	-0.248513	-0.117333	Inf
72.000000	115.334275	105.342857	9.928330	21.471497	5.715792	-5.135929	-0.248513	0.306861	Inf
73.000000	121.700473	115.241997	10.861302	-14.314331	6.047143	8.697945	-0.248513	-0.269180	Inf
74.000000	125.520191	121.221535	11.424860	24.453650	5.218767	-5.218767	-0.248513	0.043669	Inf
75.000000	128.703290	125.942223	11.869775	-2.982152	1.573914	1.325401	-0.165675	0.015857	Inf
76.000000	132.310802	129.575714	12.212223	-3.280368	2.319452	2.070939	-0.248513	0.075118	Inf
77.000000	136.130520	132.608398	12.498047	3.280368	1.076888	1.325401	-0.248513	0.012367	Inf
78.000000	138.995309	136.384949	12.853979	-2.087507	1.159726	3.064990	-0.248513	-0.004232	Inf
79.000000	139.738032	139.160141	13.115534	7.455381	1.739589	0.248513	-0.248513	-0.004302	Inf
80.000000	137.934276	139.589294	13.155981	5.069659	0.414188	0.662701	-0.165675	0.104879	Inf
81.000000	136.130520	137.557968	12.964533	8.648242	0.745538	0.828376	-0.165675	0.128928	Inf
82.000000	131.886388	136.013016	12.818925	4.473228	0.497025	1.905264	-0.165675	0.106680	Inf
83.000000	130.825355	131.692871	12.411761	13.717901	1.408239	-0.745538	-0.165675	0.133234	Inf
84.000000	129.764323	130.949005	12.341653	0.596430	0.745538	2.650802	-0.248513	0.074124	Inf
85.000000	127.005637	129.575714	12.212223	6.858951	0.331350	0.828376	-0.165675	0.093049	Inf
86.000000	124.883571	127.401344	12.007294	-3.280368	1.242563	1.076888	-0.165675	0.052187	Inf
87.000000	122.337092	124.883644	11.770006	4.771444	0.165675	1.325401	-0.165675	0.062400	Inf
88.000000	120.957750	122.079842	11.505754	4.473228	0.828376	-0.165675	-0.165675	0.119072	Inf
89.000000	112.787796	120.820992	11.387110	4.771444	0.331350	1.573914	-0.248513	0.087131	Inf
90.000000	96.553993	112.009041	10.556603	1.192861	3.644853	4.141878	-0.082838	0.198824	Inf
91.000000	77.773711	97.475044	9.186806	22.962574	6.047143	-1.242563	-0.165675	-0.003180	Inf
92.000000	60.160565	78.163139	7.366702	-19.085775	6.212818	8.697945	-0.248513	0.031447	Inf
93.000000	50.186856	60.081478	5.662546	-14.910762	6.544168	-4.307553	-0.248513	0.049748	Inf
94.000000	42.441316	50.783154	4.786199	-7.157166	2.070939	0.414188	-0.165675	0.006537	Inf
95.000000	32.149297	41.370388	3.899067	10.735748	2.567965	-0.414188	-0.082838	0.068668	Inf
