Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.331350	-0.165675	0.000003	14.715000
1.000000	0.000000	-0.028610	-0.002696	-1.192861	0.000000	-0.248513	-0.165675	0.000003	14.714522
2.000000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.165675	0.000000	14.714522
3.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.165675	0.000004	14.715000
4.000000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.331350	-0.165675	0.000003	14.714522
5.000000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.331350	-0.165675	0.000000	14.714522
6.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.165675	0.000003	14.715000
7.000000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.165675	0.000003	14.714522
8.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.331350	-0.165675	0.000003	14.715000
9.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.165675	0.000003	14.715000
10.000000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.248513	-0.165675	0.000000	14.715000
11.000000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.248513	-0.165675	0.000000	14.714522
12.000000	0.742723	-0.028610	-0.002696	-1.192861	0.000000	-0.248513	-0.165675	0.000000	14.714522
13.000000	6.047887	0.858307	0.080894	0.000000	0.000000	0.579863	-0.165675	-0.000023	14.729328
14.000000	19.098592	5.378723	0.506933	18.191130	3.230665	-4.556066	-0.165675	0.002105	14.804791
15.000000	35.014085	18.253325	1.720335	-12.525040	4.804579	1.325401	-0.248513	0.015008	15.019717
16.000000	46.367137	35.333630	3.330116	11.928610	4.638904	-3.562015	-0.165675	-0.016313	15.304853
17.000000	59.736152	46.777721	4.408696	8.051811	3.727690	4.638904	-0.248513	-0.029996	15.495898
18.000000	76.712678	58.221813	5.487277	27.435802	5.384442	-0.248513	-0.165675	0.084015	15.686944
19.000000	91.991552	78.134529	7.364006	2.982152	6.378493	-2.319452	-0.248513	-0.131781	16.019363
20.000000	97.296716	92.039101	8.674481	14.314331	4.224716	4.390391	-0.248513	-0.041426	16.251483
21.000000	99.418782	97.589485	9.197592	0.596430	0.745538	1.822426	-0.248513	0.006101	16.344140
22.000000	100.055402	99.334709	9.362076	8.648242	1.076888	-0.331350	-0.248513	0.033711	16.373274
23.000000	101.859158	100.078575	9.432183	5.964305	0.165675	0.911213	-0.165675	0.043930	16.385692
24.000000	102.920190	102.224342	9.634417	2.683937	1.159726	1.076888	-0.248513	-0.019009	16.421513
25.000000	108.968078	102.624886	9.672168	7.157166	0.331350	0.745538	-0.165675	0.076960	16.428200
26.000000	112.787796	109.262459	10.297744	-12.226825	3.064990	4.473228	-0.331350	-0.043127	16.539006
27.000000	120.639440	112.838737	10.634800	8.051811	1.573914	-0.165675	-0.165675	0.013927	16.598708
28.000000	129.446013	121.135704	11.416771	8.051811	3.147828	4.970254	-0.331350	-0.062806	16.737216
29.000000	138.252586	130.033478	12.255367	7.753596	4.141878	-1.242563	-0.082838	0.227240	16.885754
30.000000	146.104229	139.303192	13.129017	-4.771444	3.147828	2.485127	-0.248513	0.072041	17.040500
31.000000	150.348361	146.684631	13.824701	2.683937	2.485127	0.911213	-0.248513	0.139873	17.163725
32.000000	153.107046	150.289520	14.164454	1.789291	1.076888	2.567965	-0.248513	0.018824	17.223904
33.000000	155.229112	153.465256	14.463760	4.771444	1.822426	0.828376	-0.165675	0.151790	17.276919
34.000000	157.032868	155.324921	14.639029	7.455381	0.579863	1.159726	-0.248513	0.087665	17.307964
35.000000	157.351178	157.499298	14.843959	1.192861	1.325401	2.070939	-0.165675	0.082750	17.344263
36.000000	156.290145	157.127365	14.808905	7.753596	0.497025	0.828376	-0.165675	0.113312	17.338054
37.000000	150.984980	156.183228	14.719922	7.753596	0.497025	0.662701	-0.165675	0.132005	17.322293
38.000000	141.117375	150.232300	14.159061	8.350027	2.070939	1.656751	-0.165675	0.000000	17.222949
39.000000	130.825355	139.503464	13.147892	17.296484	4.224716	-3.479178	-0.165675	0.351670	17.043844
40.000000	122.337092	130.891785	12.336260	-15.507193	6.378493	9.029295	-0.331350	-0.309369	16.900082
41.000000	114.273242	120.363228	11.343967	19.682205	5.301604	-0.911213	-0.082838	0.350991	16.724320
42.000000	102.601881	115.699760	10.904446	-16.700054	4.473228	3.313503	-0.165675	-0.109736	16.646469
43.000000	88.808453	100.450508	9.467237	26.541157	5.550117	-3.147828	-0.082838	0.299201	16.391901
44.000000	78.516434	90.408318	8.520783	13.121470	5.964305	1.988102	-0.165675	-0.096178	16.224259
45.000000	73.953993	77.133171	7.269630	24.751865	4.224716	-4.059041	-0.082838	0.124351	16.002646
46.000000	72.150237	74.815742	7.051218	-14.910762	4.141878	0.082838	-0.165675	-0.012138	15.963960
47.000000	68.967138	71.840279	6.770787	12.226825	1.739589	2.153777	-0.248513	0.008749	15.914288
48.000000	65.041316	67.806236	6.390587	13.717901	2.650802	-1.159726	-0.248513	0.038033	15.846944
49.000000	62.919250	64.916603	6.118246	2.385722	0.331350	-0.082838	-0.165675	0.041046	15.798705
50.000000	62.919250	63.028332	5.940280	6.262520	0.165675	0.414188	-0.165675	0.021936	15.767183
51.000000	61.539908	63.257214	5.961852	-0.298215	0.331350	1.408239	-0.248513	-0.007884	15.771004
52.000000	55.492020	60.968395	5.746136	5.964305	1.076888	-1.408239	-0.082838	0.081393	15.732795
53.000000	46.367137	54.674145	5.152917	2.087507	3.396340	3.230665	-0.165675	0.096365	15.627720
54.000000	42.759626	46.033855	4.338589	1.789291	1.988102	2.153777	-0.165675	0.055439	15.483480
55.000000	42.441316	42.858120	4.039283	-0.596430	0.331350	-0.331350	-0.165675	0.020653	15.430465
56.000000	42.441316	43.087002	4.060854	-5.964305	0.994051	2.816477	-0.248513	-0.012669	15.434286
57.000000	42.441316	41.713711	3.931425	13.419685	1.325401	0.414188	-0.248513	0.036508	15.411361
58.000000	43.502349	43.029781	4.055461	5.069659	1.242563	1.076888	-0.248513	-0.001388	15.433331
59.000000	44.563381	44.460293	4.190284	-4.175014	2.567965	1.076888	-0.165675	-0.048247	15.457212
60.000000	51.990612	43.630596	4.112087	10.139318	1.739589	-1.988102	-0.165675	0.066431	15.443361
61.000000	54.112677	53.100582	5.004612	-9.244673	2.982152	2.816477	-0.331350	-0.049775	15.601451
62.000000	56.234743	53.472515	5.039666	14.612547	1.822426	-2.485127	-0.165675	0.035401	15.607660
63.000000	57.295776	57.077404	5.379419	-7.157166	1.739589	2.650802	-0.165675	-0.030591	15.667839
64.000000	60.478875	57.878490	5.454919	2.087507	2.236614	0.331350	-0.165675	-0.042222	15.681212
65.000000	62.919250	60.424801	5.694903	4.771444	0.248513	1.242563	-0.165675	0.016854	15.723720
66.000000	63.980283	62.513348	5.891744	-1.491076	1.159726	1.325401	-0.248513	0.030378	15.758586
67.000000	65.041316	63.400265	5.975334	10.139318	0.911213	-0.911213	-0.248513	0.064777	15.773392
68.000000	71.831927	65.689079	6.191050	-4.771444	0.911213	2.485127	-0.165675	-0.026843	15.811601
69.000000	82.017842	70.037834	6.600910	23.260788	4.307553	-3.313503	-0.248513	0.064410	15.884198
70.000000	93.689204	83.112709	7.833188	-29.523310	7.289706	10.603209	-0.248513	-0.190255	16.102467
71.000000	105.360566	92.897408	8.755374	29.523310	6.212818	-6.544168	-0.082838	0.272862	16.265811
72.000000	115.334275	106.430046	10.030796	-25.944725	6.709843	9.940508	-0.248513	-0.238422	16.491723
73.000000	121.700473	114.784233	10.818159	25.646511	5.632955	-5.467279	-0.165675	0.321027	16.631186
74.000000	125.520191	123.682014	11.656755	-6.858951	5.467279	6.709843	-0.248513	-0.222261	16.779724
75.000000	128.703290	125.713341	11.848203	14.612547	4.556066	-2.567965	-0.082838	0.272687	16.813634
76.000000	132.310802	129.060730	12.163687	-2.683937	1.325401	3.313503	-0.248513	-0.032043	16.869515
77.000000	136.130520	132.780060	12.514226	-4.175014	1.491076	3.644853	-0.331350	-0.028707	16.931605
78.000000	138.995309	136.499390	12.864764	4.473228	1.822426	0.745538	-0.165675	-0.029583	16.993694
79.000000	139.738032	138.845428	13.085873	8.946457	1.242563	2.153777	-0.248513	0.055996	17.032859
80.000000	137.934276	139.589294	13.155981	5.666090	0.248513	0.911213	-0.248513	0.096021	17.045277
81.000000	136.130520	137.529358	12.961837	7.455381	0.911213	1.242563	-0.165675	0.142292	17.010888
82.000000	131.886388	136.241898	12.840496	1.192861	0.579863	2.402289	-0.165675	0.076938	16.989396
83.000000	130.825355	131.263718	12.371314	12.823256	1.325401	-0.414188	-0.165675	0.138888	16.906291
84.000000	129.764323	130.949005	12.341653	0.596430	0.828376	2.650802	-0.165675	0.074124	16.901037
85.000000	127.005637	129.804596	12.233795	4.771444	0.165675	1.076888	-0.165675	0.048558	16.881933
86.000000	124.883571	126.714699	11.942579	3.876798	1.076888	2.319452	-0.248513	0.139940	16.830351
87.000000	122.337092	124.883644	11.770006	5.964305	0.165675	0.911213	-0.248513	0.062543	16.799783
88.000000	120.957750	121.965401	11.494968	6.262520	0.911213	1.408239	-0.165675	0.026962	16.751067
89.000000	112.787796	120.935432	11.397896	4.473228	0.082838	1.159726	-0.165675	0.060399	16.733873
90.000000	96.553993	113.582603	10.704908	-14.314331	4.224716	-0.414188	-0.248513	0.003644	16.611126
91.000000	77.773711	95.129005	8.965698	4.473228	5.715792	4.141878	-0.082838	0.235273	16.303065
92.000000	60.160565	78.735344	7.420631	-22.664358	5.881467	-1.325401	-0.165675	-0.023464	16.029393
93.000000	50.186856	57.821270	5.449526	22.067928	6.378493	-0.994051	-0.165675	0.194270	15.680257
94.000000	42.441316	50.840374	4.791592	-12.525040	3.562015	5.467279	-0.248513	0.018408	15.563719
95.000000	32.149297	41.913982	3.950300	13.717901	1.822426	-1.988102	-0.082838	0.056851	15.414704
96.000000	20.477935	32.186504	3.033507	-13.419685	4.887416	6.544168	-0.331350	-0.067500	15.252315
97.000000	12.732395	18.854139	1.776961	8.946457	5.384442	-5.881467	-0.248513	0.051703	15.029747
98.000000	7.745540	13.875960	1.307778	-13.419685	3.064990	1.822426	-0.248513	-0.012303	14.946643
99.000000	0.000000	7.095336	0.668720	11.630394	1.491076	-2.070939	-0.165675	0.004089	14.833448
100.000000	0.000000	0.543594	0.051233	-11.033964	2.567965	-0.248513	-0.248513	-0.000643	14.724075
101.000000	0.000000	-0.028610	-0.002696	0.000000	0.165675	0.082838	-0.248513	0.000000	14.714522
102.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248513	0.000000	14.715000
103.000000	0.000000	-0.028610	-0.002696	0.298215	0.000000	0.082838	-0.248513	0.000000	14.714522
104.000000	0.000000	0.000000	0.000000	0.298215	0.000000	0.082838	-0.248513	0.000000	14.715000
105.000000	0.000000	-0.028610	-0.002696	0.298215	0.000000	0.000000	-0.248513	0.000000	14.714522
106.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082838	-0.248513	0.000000	14.715000
107.000000	0.000000	-0.057220	-0.005393	-0.596430	0.000000	-0.165675	-0.082838	0.000002	14.714045
108.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.082838	0.000002	14.714522
