Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000000	14.714522
1.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000002	14.714522
2.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.715000
3.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.248513	0.000002	14.715000
4.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
5.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
6.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000002	14.714522
7.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
8.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.248513	0.000000	14.715000
9.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
10.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.715000
11.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.248513	0.000000	14.714522
12.000000	1.061033	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
13.000000	9.018780	1.173019	0.110554	0.000000	0.082838	1.159726	-0.248513	-0.000028	14.734582
14.000000	28.647888	9.412765	0.887132	9.841103	4.141878	-4.224716	-0.248513	-0.004019	14.872135
15.000000	52.521128	28.295515	2.666789	-29.225094	7.621056	5.135929	-0.248513	0.004080	15.187360
16.000000	69.497654	54.473873	5.134042	0.596430	8.118081	-3.396340	-0.165675	-0.105114	15.624376
17.000000	89.657279	70.667259	6.660232	3.280368	5.301604	7.289706	-0.248513	-0.097214	15.894706
18.000000	115.122069	86.631767	8.164852	23.260788	8.283756	-7.538218	-0.165675	0.332578	16.161214
19.000000	137.934276	116.014473	10.934106	25.646511	10.354696	-8.863620	-0.082838	0.517984	16.651723
20.000000	145.892023	140.905365	13.280018	0.000000	11.928610	14.165224	-0.331350	-0.396066	17.067247
21.000000	149.075121	145.654663	13.727629	12.823256	2.899315	-1.076888	-0.082838	0.209649	17.146531
22.000000	150.136154	149.545654	14.094346	-0.596430	1.242563	2.650802	-0.248513	0.009358	17.211486
23.000000	152.788736	150.060638	14.142882	8.350027	0.994051	2.070939	-0.248513	0.069918	17.220083
24.000000	154.380286	153.036102	14.423313	1.192861	0.745538	2.319452	-0.248513	0.043117	17.269755
25.000000	163.399065	154.552444	14.566225	5.367874	1.076888	0.994051	-0.248513	0.028830	17.295069
26.000000	169.234746	163.307175	15.391339	-11.928610	3.810528	4.390391	-0.331350	-0.009989	17.441218
27.000000	180.906108	169.258102	15.952200	11.033964	2.402289	3.479178	-0.248513	0.020893	17.540562
28.000000	194.169019	179.700836	16.936405	28.032232	4.721741	1.242563	-0.165675	0.265039	17.714891
29.000000	207.431930	196.065887	18.478775	-13.121470	5.550117	3.810528	-0.248513	0.136081	17.988086
30.000000	219.103292	207.509979	19.557355	16.700054	4.804579	-2.733640	-0.331350	-0.006369	18.179131
