Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
1.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
2.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
3.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
4.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.715000
5.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.715000
6.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
7.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.715000
8.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
9.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.715000
10.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	14.714522
11.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.715000
12.000000	2.122066	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	14.714522
13.000000	18.037559	2.632141	0.248073	-2.087507	0.745538	0.662701	-0.248513	0.000268	14.758940
14.000000	57.295776	18.110273	1.706853	-23.857220	5.798630	4.887416	-0.165675	-0.009175	15.017329
15.000000	105.042256	58.250423	5.489973	38.469765	14.745087	-14.496574	-0.165675	-0.022044	15.687421
16.000000	138.995309	105.428688	9.936420	56.064465	18.804127	-18.804127	-0.165675	0.035960	16.475006
17.000000	179.314559	138.702377	13.072391	-45.626930	13.419685	7.952406	-0.248513	0.103816	17.030471
18.000000	230.244137	177.555069	16.734171	56.959110	13.005498	-13.005498	0.000000	0.399817	17.679070
19.000000	275.868552	226.879105	21.382852	90.061005	21.869118	2.650802	-0.165675	1.015632	18.502476
20.000000	291.784045	271.196350	25.559654	16.103622	15.242112	-8.532269	0.000000	1.610135	19.242299
21.000000	298.150242	293.540924	27.665580	-4.175014	6.544168	1.905264	-0.331350	-0.399613	19.615315
22.000000	300.272308	297.918304	28.078139	12.226825	2.236614	2.567965	-0.248513	0.222774	19.688390
23.000000	305.577473	300.350159	28.307336	5.666090	1.242563	2.402289	-0.165675	0.206431	19.728987
24.000000	308.760571	305.871948	28.827752	9.244673	2.650802	0.579863	-0.165675	0.047524	19.821167
25.000000	326.798131	308.904633	29.113576	6.560735	1.325401	2.485127	-0.248513	0.193061	19.871794
26.000000	338.469492	326.356873	30.758411	37.276905	8.532269	-7.952406	0.082838	1.347299	20.163138
27.000000	361.812216	340.147003	32.058100	2.087507	6.295655	9.277807	-0.414188	-0.461452	20.393348
28.000000	388.338038	358.228668	33.762257	43.837639	10.686046	-9.609158	0.165675	1.720962	20.695200
29.000000	414.863860	388.555511	36.620494	39.662628	11.680097	-9.609158	0.165675	0.189030	21.201470
30.000000	438.206584	413.675293	38.987978	42.644779	9.112132	4.390391	-0.248513	0.789214	21.620815
31.000000	450.938979	440.454468	41.511856	-0.596430	8.615107	0.331350	-0.082838	-0.801580	22.067861
32.000000	459.427242	451.154694	42.520328	11.332179	3.396340	1.408239	-0.165675	0.660845	22.246489
33.000000	465.793439	460.252747	43.377799	5.964305	3.810528	1.905264	-0.165675	0.657265	22.398370
34.000000	471.098604	465.745911	43.895518	5.666090	2.319452	3.727690	-0.331350	0.290949	22.490072
35.000000	472.159637	471.639587	44.450984	8.051811	3.147828	2.070939	-0.248513	0.660546	22.588460
36.000000	468.976538	472.068756	44.491432	11.033964	2.567965	2.402289	-0.248513	0.516135	22.595624
37.000000	453.061045	468.635529	44.167858	10.437533	1.988102	2.567965	-0.248513	0.410682	22.538311
38.000000	423.352124	452.184662	42.617400	-3.280368	6.627006	8.283756	-0.414188	-0.794645	22.263683
39.000000	392.582170	420.970886	39.675571	69.782364	13.419685	-12.922661	0.248513	1.850524	21.742606
40.000000	367.117380	396.423309	37.362017	-53.082314	14.248061	14.579412	-0.579863	-0.381404	21.332814
41.000000	342.713624	365.724548	34.468727	-27.137587	16.153326	18.555614	0.082838	0.726071	20.820335
42.000000	307.699538	340.690582	32.109331	34.891182	7.206868	-2.982152	-0.082838	1.007606	20.402423
43.000000	266.319256	312.709778	29.472202	-58.748402	15.490625	12.674148	-0.414188	-0.009209	19.935316
44.000000	235.549302	269.308075	25.381688	-78.132393	20.792229	-1.076888	-0.165675	-0.881676	19.210777
45.000000	221.755874	232.772812	21.938321	21.769712	9.526320	2.402289	-0.248513	-0.294060	18.600864
46.000000	216.450710	220.956787	20.824687	16.401838	3.313503	-1.325401	-0.165675	0.353827	18.403610
