Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	-Inf
0.100000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	NaN
0.200000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000002	NaN
0.300000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	-Inf
0.400000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000000	-Inf
0.500000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000000	NaN
0.600000	0.000000	0.000000	0.000000	-0.894646	0.000000	-0.165675	-0.165675	0.000000	NaN
0.700000	0.000000	-0.028610	-0.002696	-0.894646	0.000000	-0.165675	-0.165675	0.000000	-Inf
0.800000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000003	NaN
0.900000	0.000000	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	-Inf
1.000000	0.000000	0.000000	0.000000	-0.596430	0.000000	-0.165675	-0.165675	0.000002	NaN
1.100000	0.212207	-0.028610	-0.002696	-0.596430	0.000000	-0.165675	-0.165675	0.000002	-Inf
1.200000	0.424413	0.000000	0.000000	0.894646	0.000000	0.248513	-0.165675	0.000019	NaN
1.300000	0.636620	0.314712	0.029661	0.298215	0.000000	0.662701	-0.248513	0.000000	Inf
1.400000	0.848826	0.629425	0.059322	-0.298215	0.000000	0.828376	-0.248513	0.000016	Inf
1.500000	1.061033	0.772476	0.072804	-0.298215	0.000000	0.331350	-0.165675	0.000059	Inf
1.600000	1.273239	0.915527	0.086286	1.192861	0.000000	0.165675	-0.165675	0.000037	Inf
1.700000	1.485446	1.029968	0.097072	2.087507	0.000000	0.248513	-0.248513	0.000482	Inf
1.800000	1.697653	1.316070	0.124037	2.087507	0.000000	0.165675	-0.248513	0.000466	Inf
1.900000	1.909859	1.516342	0.142912	1.192861	0.000000	1.159726	-0.165675	-0.000225	Inf
2.000000	2.122066	1.916885	0.180662	0.298215	0.000000	0.828376	-0.248513	0.000046	Inf
2.100000	2.334272	2.088547	0.196841	-1.192861	0.000000	0.828376	-0.248513	-0.000166	Inf
2.200000	2.546479	2.088547	0.196841	3.876798	0.000000	-0.248513	-0.165675	0.001072	Inf
