Time    	RPM Setpoints 	Measured km/h 	Measured RPM/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000004	NaN
1.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.248513	0.000000	NaN
2.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000004	NaN
3.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000000	NaN
4.000000	0.000000	-0.028610	-0.749014	-1.192861	0.000000	-0.331350	-0.248513	0.000000	NaN
5.000000	0.000000	-0.028610	-0.749014	-1.192861	0.000000	-0.331350	-0.248513	0.000004	NaN
6.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000004	NaN
7.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000004	NaN
8.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000000	NaN
9.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000004	NaN
10.000000	0.000000	0.000000	0.000000	-1.192861	0.000000	-0.331350	-0.165675	0.000000	NaN
11.000000	10.610329	-0.028610	-0.749014	-1.192861	0.000000	-0.331350	-0.165675	0.000000	NaN
12.000000	11.671362	12.302398	322.076019	-21.471497	4.638904	4.638904	-0.248513	-0.002859	NaN
13.000000	12.732395	10.585784	277.135176	11.630394	2.567965	-1.076888	-0.165675	0.007720	NaN
14.000000	13.793428	12.559890	328.817146	-2.385722	1.822426	1.988102	-0.248513	-0.009494	NaN
15.000000	14.854460	14.219283	372.259961	2.087507	1.739589	-0.165675	-0.165675	0.009962	NaN
16.000000	15.915493	14.820098	387.989256	-2.087507	0.414188	1.905264	-0.248513	-0.004700	NaN
17.000000	16.976526	16.450880	430.683033	-3.876798	0.414188	1.822426	-0.248513	-0.000863	NaN
18.000000	18.037559	16.565321	433.679089	4.771444	0.248513	0.414188	-0.248513	0.000000	NaN
19.000000	19.098592	18.339155	480.117960	-7.157166	1.159726	3.479178	-0.248513	-0.013179	NaN
20.000000	20.159625	18.825529	492.851199	6.858951	0.331350	-1.076888	-0.165675	0.017645	NaN
21.000000	21.220658	20.942686	548.278239	-8.350027	1.656751	2.982152	-0.248513	-0.009292	NaN
22.000000	22.281691	21.944044	574.493731	-1.789291	1.491076	0.331350	-0.165675	0.012928	NaN
23.000000	23.342724	21.944044	574.493731	-0.298215	0.994051	2.485127	-0.165675	-0.012946	NaN
24.000000	24.403756	23.832319	623.928659	2.087507	1.822426	-0.662701	-0.248513	0.022905	NaN
25.000000	25.464789	23.689268	620.183589	11.928610	1.242563	-1.491076	-0.165675	0.018865	NaN
26.000000	26.525822	26.321409	689.092882	-8.648242	1.905264	2.899315	-0.248513	-0.004321	NaN
27.000000	27.586855	26.950834	705.571191	2.087507	1.491076	-0.579863	-0.165675	0.025074	NaN
28.000000	28.647888	27.437208	718.304430	-1.789291	1.491076	2.816477	-0.165675	-0.023810	NaN
29.000000	29.708921	29.010771	759.500203	5.069659	1.905264	3.727690	-0.248513	-0.017693	NaN
30.000000	30.769954	29.239653	765.492316	10.437533	0.994051	-1.573914	-0.165675	0.028139	NaN
31.000000	31.830987	31.614302	827.660483	-8.946457	1.656751	2.899315	-0.331350	-0.022094	NaN
32.000000	32.892020	31.042097	812.680201	12.525040	1.491076	-1.656751	-0.165675	0.026536	NaN
33.000000	33.953053	32.558437	852.377897	-0.894646	2.153777	2.650802	-0.248513	-0.029645	NaN
34.000000	35.014085	34.332272	898.816768	3.876798	1.905264	-0.662701	-0.165675	0.039549	NaN
35.000000	36.075118	33.988949	889.828599	12.525040	1.988102	-1.076888	-0.248513	-0.036666	NaN
36.000000	37.136151	37.193295	973.718174	-8.051811	2.650802	2.153777	-0.248513	0.013288	NaN
37.000000	38.197184	36.535259	956.490850	3.280368	1.822426	1.988102	-0.165675	-0.020596	NaN
38.000000	39.258217	38.623806	1011.168877	-7.753596	1.739589	4.059041	-0.165675	-0.032397	NaN
39.000000	40.319250	38.766857	1014.913947	12.226825	1.242563	-1.822426	-0.165675	0.048958	NaN
40.000000	41.380283	40.884014	1070.340987	-7.455381	1.491076	3.562015	-0.331350	-0.024177	NaN
41.000000	42.441316	42.228695	1105.544648	-5.964305	1.656751	1.905264	-0.248513	0.008518	NaN
42.000000	43.502349	41.713711	1092.062395	8.051811	1.242563	-0.082838	-0.248513	0.004187	NaN
43.000000	44.563381	43.630596	1142.246336	-5.964305	1.988102	4.224716	-0.248513	-0.046023	NaN
44.000000	45.624414	44.574734	1166.963800	9.542888	2.319452	-1.905264	-0.165675	0.067859	NaN
45.000000	46.685447	45.976635	1203.665489	-6.262520	1.573914	3.976203	-0.248513	-0.039102	NaN
46.000000	47.746480	47.550198	1244.861262	-7.455381	1.656751	2.899315	-0.248513	-0.011050	NaN
47.000000	48.807513	47.092434	1232.877037	12.823256	1.242563	-1.573914	-0.165675	0.047584	NaN
48.000000	49.868546	49.667355	1300.288302	-8.946457	1.822426	3.313503	-0.331350	-0.018991	NaN
49.000000	50.929579	50.525661	1322.758724	-1.491076	1.656751	0.911213	-0.165675	0.031278	NaN
50.000000	51.990612	50.325390	1317.515626	4.175014	1.408239	1.739589	-0.248513	-0.023091	NaN
51.000000	53.051645	52.528378	1375.189708	-8.648242	1.822426	4.307553	-0.248513	0.055967	NaN
52.000000	54.112677	52.556988	1375.938722	12.823256	1.408239	-2.070939	-0.165675	0.067904	NaN
53.000000	55.173710	54.845806	1435.859847	-9.841103	2.070939	3.976203	-0.248513	-0.035716	NaN
54.000000	56.234743	55.761333	1459.828296	-1.789291	1.491076	1.325401	-0.248513	0.021569	NaN
55.000000	57.295776	55.561062	1454.585198	7.157166	1.159726	0.414188	-0.165675	0.012709	NaN
56.000000	58.356809	58.164593	1522.745477	-4.771444	1.988102	1.656751	-0.248513	0.018841	NaN
57.000000	59.417842	58.393475	1528.737590	7.157166	1.242563	-0.579863	-0.165675	0.072157	NaN
58.000000	60.478875	59.394833	1554.953082	-2.087507	1.408239	3.396340	-0.165675	-0.041239	NaN
59.000000	61.539908	61.140057	1600.642939	3.876798	1.491076	3.644853	-0.165675	0.071746	NaN
60.000000	62.600941	60.968395	1596.148855	12.226825	1.242563	-1.242563	-0.165675	0.068484	NaN
61.000000	63.661973	63.142773	1653.073923	5.666090	1.242563	0.994051	-0.165675	0.002012	NaN
62.000000	64.723006	64.487450	1688.277484	-4.473228	1.905264	1.739589	-0.248513	-0.045908	NaN
