Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque SetPoints
0.000000	0.000000	0.000000	0.000000	8.382801	100.730484	2.319452	100.813316	0.000000	14.715000
1.000000	0.000000	0.000000	0.000000	8.693274	100.730484	2.236614	100.730484	0.000000	14.715000
2.000000	0.000000	0.000000	0.000000	8.382299	100.730484	2.319452	100.730484	0.000000	14.715000
3.000000	0.000000	0.000000	0.000000	8.692755	100.730484	2.236614	100.813316	0.000000	14.715000
4.000000	0.000000	0.000000	0.000000	8.693274	100.730484	2.319452	100.730484	0.000000	14.715000
5.000000	0.000000	0.000000	0.000000	8.692755	100.730484	2.319452	100.813316	0.000000	14.715000
6.000000	0.000000	0.000000	0.000000	8.693274	100.730484	2.236614	100.730484	0.000000	14.715000
7.000000	0.000000	0.000000	0.000000	8.382801	100.730484	2.236614	100.813316	0.000000	14.715000
8.000000	0.000000	0.000000	0.000000	8.692755	100.730484	2.319452	100.813316	0.000000	14.715000
9.000000	0.000000	0.000000	0.000000	8.692755	100.730484	2.236614	100.730484	0.000000	14.715000
10.000000	0.000000	0.000000	0.000000	8.692755	100.730484	2.319452	100.813316	0.000000	14.715000
11.000000	0.000000	0.000000	0.000000	8.693274	100.813316	2.402289	100.813316	0.000000	14.715000
12.000000	2.122066	0.000000	0.000000	10.865943	100.813316	2.899315	100.813316	0.000000	14.715000
13.000000	18.037559	2.403259	0.226502	13.039132	100.813316	3.230665	100.813316	0.003129	14.755120
14.000000	57.295776	18.911360	1.782354	-4.346117	100.813316	1.242563	100.813316	0.036917	15.030703
15.000000	105.042256	56.276318	5.303918	27.940996	100.978996	7.455381	100.730484	0.057964	15.654466
16.000000	138.995309	105.400078	9.933723	5.588199	100.813316	1.159726	100.730484	0.085434	16.474528
17.000000	179.314559	140.304550	13.223392	6.519956	100.978996	-2.402289	100.730484	-0.129719	17.057217
18.000000	230.244137	178.413376	16.815065	12.107765	100.813316	3.230665	100.813316	-0.099349	17.693398
19.000000	275.868552	230.083450	21.684854	3.414806	100.813316	3.727690	100.730484	0.293270	18.555969
20.000000	291.784045	275.144562	25.931764	9.623545	100.896156	5.550117	100.730484	0.180716	19.308210
21.000000	298.150242	291.080444	27.433686	1.862733	100.978996	-1.325401	100.813316	0.678408	19.574241
22.000000	300.272308	298.604950	28.142854	14.280099	100.813316	0.579863	100.813316	0.452817	19.699853
23.000000	305.577473	300.922363	28.361265	9.003210	100.813316	2.402289	100.730484	0.672516	19.738540
24.000000	308.760571	306.014984	28.841233	2.173189	100.813316	3.644853	100.813316	0.433941	19.823555
25.000000	326.798131	309.362396	29.156719	6.519566	100.813316	3.396340	100.813316	0.673736	19.879436
26.000000	338.469492	326.471313	30.769196	2.794100	100.978996	0.745538	100.730484	-0.095031	20.165049
27.000000	361.812216	339.002594	31.950242	15.522776	100.813316	0.745538	100.730484	0.482058	20.374244
28.000000	388.338038	363.635986	34.271884	2.483644	100.978996	-1.905264	100.813316	0.935202	20.785469
29.000000	414.863860	386.438354	36.420957	24.836441	101.061829	-3.396340	100.730484	0.323650	21.166127
30.000000	438.206584	413.875549	39.006852	26.078264	100.978996	3.644853	100.813316	-0.297101	21.624158
31.000000	450.938979	437.049835	41.190977	27.942669	100.978996	0.248513	100.730484	-0.014144	22.011025
32.000000	459.427242	451.211914	42.525721	21.421431	100.813316	-0.414188	100.813316	0.538736	22.247444
33.000000	465.793439	459.794983	43.334656	6.830021	100.813316	3.147828	100.813316	0.969220	22.390728
34.000000	471.098604	466.260895	43.944054	7.451378	100.813316	4.556066	100.730484	0.831366	22.498669
35.000000	472.159637	471.696808	44.456377	13.660861	100.813316	3.230665	100.730484	1.042038	22.589415
36.000000	468.976538	471.897095	44.475253	16.764599	100.813316	3.727690	100.813316	0.689751	22.592759
37.000000	453.061045	468.435242	44.148981	22.042341	100.896156	3.727690	100.813316	0.686989	22.534967
38.000000	423.352124	452.041595	42.603917	8.381797	100.978996	8.200919	100.730484	0.192878	22.261295
39.000000	392.582170	425.405487	40.093523	-14.280954	101.061829	4.970254	100.730484	1.204206	21.816637
40.000000	367.117380	394.191711	37.151694	-2.173189	100.896156	6.709843	100.730484	0.372782	21.295560
41.000000	342.713624	367.727264	34.657478	-9.003210	100.896156	3.727690	100.813316	0.743063	20.853768
42.000000	307.699538	344.552979	32.473353	-9.003210	100.896156	6.212818	100.730484	0.830012	20.466901
43.000000	266.319256	308.046326	29.032682	0.000000	100.813316	3.064990	100.730484	0.461367	19.857466
44.000000	235.549302	267.276733	25.190239	3.104555	100.813316	4.638904	100.730484	0.322987	19.176866
45.000000	221.755874	236.978516	22.334699	-6.519566	100.896156	0.165675	100.813316	0.572875	18.671073
46.000000	216.450710	220.699295	20.800419	19.557528	100.896156	3.064990	100.813316	-0.144331	18.399311
47.000000	206.901414	216.779694	20.431005	10.245032	100.813316	2.733640	100.813316	0.317606	18.333878
48.000000	195.230052	206.251129	19.438711	13.970498	100.813316	-0.082838	100.730484	0.186787	18.158116
49.000000	188.863855	195.121750	18.389792	-5.588534	100.896156	4.970254	100.730484	0.257888	17.972325
50.000000	188.863855	188.655838	17.780394	15.522776	100.813316	2.070939	100.730484	0.128617	17.864384
51.000000	184.619723	188.941940	17.807358	12.418221	100.730484	3.230665	100.813316	0.282306	17.869160
52.000000	166.582164	184.421524	17.381319	11.487542	100.813316	3.064990	100.730484	0.312550	17.793697
53.000000	138.995309	165.939316	15.639412	-1.241896	100.896156	6.378493	100.813316	0.121510	17.485159
54.000000	128.384980	138.158783	13.021159	0.000000	100.896156	4.887416	100.730484	-0.027592	17.021396
