Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   
0.000000	0.000000	1.745224	0.164483	10.865943	100.813316	2.899315	100.730484	0.001578	14.744134	-1.745224	-1.192861	0.000000	-1.192861	-0.331350	0.000172
1.000000	0.000000	1.688003	0.159091	13.350387	100.730484	3.479178	100.730484	0.002416	14.743179	-1.659393	-0.298215	0.000000	-0.298215	-0.082838	0.000055
2.000000	0.000000	1.516342	0.142912	14.902757	100.813316	3.976203	100.730484	0.002142	14.740314	-1.630783	0.298215	0.000000	0.298215	0.082838	-0.000041
3.000000	0.000000	1.659393	0.156394	11.795191	100.813316	3.644853	100.730484	0.002500	14.742702	-1.602173	-0.894646	0.000000	-0.894646	-0.248513	0.000158
4.000000	0.000000	1.802444	0.169876	6.519176	100.730484	2.733640	100.730484	0.000430	14.745090	-1.630783	0.298215	0.000000	0.298215	0.082838	-0.000012
5.000000	0.000000	1.430511	0.134823	9.313108	100.813316	2.485127	100.730484	0.000904	14.738881	-1.630783	-0.298215	0.000000	-0.298215	-0.082838	0.000040
6.000000	0.000000	1.459122	0.137519	7.449594	100.813316	2.733640	100.730484	0.001591	14.739358	-1.459122	-0.596430	0.000000	-0.596430	-0.165675	0.000098
7.000000	0.000000	1.573563	0.148305	8.070877	100.730484	3.147828	100.730484	0.001343	14.741269	-1.459122	0.298215	0.000000	0.298215	0.082838	-0.000045
8.000000	0.000000	1.230240	0.115947	12.107040	100.730484	1.905264	100.730484	0.000893	14.735537	-1.487732	-0.894646	0.000000	-0.894646	-0.248513	0.000110
9.000000	0.000000	1.430511	0.134823	12.418221	100.813316	3.810528	100.730484	0.002244	14.738881	-1.459122	0.000000	0.000000	0.000000	0.000000	0.000000
10.000000	0.000000	1.659393	0.156394	12.108490	100.813316	4.059041	100.730484	0.003036	14.742702	-1.688003	0.000000	0.000000	-0.298215	-0.082838	0.000064
11.000000	0.000000	1.516342	0.142912	13.349587	100.813316	3.396340	100.730484	0.002177	14.740314	-1.688003	-0.894646	0.000000	-0.894646	-0.248513	0.000161
12.000000	2.122066	1.487732	0.140215	15.523705	100.813316	4.473228	100.813316	0.003191	14.739836	-1.487732	0.596430	0.000000	0.298215	0.082838	-0.000122
