Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   
0.000000	0.000000	0.000000	0.000000	4.657112	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	-0.298215	0.000000	0.000000	0.000000	0.000000
1.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
3.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
4.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.000000	0.000000	0.000000	0.000000	4.657112	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	-0.298215	-0.082838	0.000000
6.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
9.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
10.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	-0.028610	0.000000	0.000000	0.000000	0.000000	0.000000
11.000000	0.000000	0.000000	0.000000	4.656833	100.730484	1.242563	100.730484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
