Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	3.175735	0.299306	14.278389	100.813316	4.307553	100.730484	0.005881	14.768015	3.118515	-0.596430	0.000000	-0.596430	-0.165675	0.000229	0.000000
1.000000	0.000000	3.461838	0.326271	12.415991	100.813316	3.313503	100.813316	0.004546	14.772791	3.433227	-0.894646	0.000000	-0.894646	-0.165675	0.000218	0.000000
2.000000	0.000000	3.032684	0.285824	10.863992	100.813316	2.567965	100.730484	0.003928	14.765627	3.175735	-0.596430	0.000000	-0.596430	-0.165675	0.000207	0.000000
3.000000	0.000000	2.975464	0.280431	12.726391	100.813316	3.230665	100.730484	0.004497	14.764672	3.118515	-0.596430	0.000000	-0.894646	-0.248513	0.000164	0.000000
4.000000	0.000000	2.946853	0.277734	11.174392	100.730484	2.982152	100.730484	0.004972	14.764194	2.861023	-0.596430	0.000000	-0.596430	-0.165675	0.000243	0.000000
5.000000	0.000000	3.547668	0.334360	15.831336	100.730484	1.739589	100.730484	0.002768	14.774224	3.719330	-0.894646	0.000000	-0.894646	-0.248513	0.000233	0.000000
6.000000	0.000000	3.004074	0.283127	16.146585	100.813316	2.733640	100.730484	0.004083	14.765149	3.318786	-0.596430	0.000000	-0.894646	-0.248513	0.000284	0.000000
7.000000	0.000000	3.061294	0.288520	11.486855	100.813316	3.064990	100.730484	0.003655	14.766105	3.175735	-0.596430	0.000000	-0.596430	-0.165675	0.000227	0.000000
8.000000	0.000000	3.147125	0.296610	11.486167	100.813316	3.147828	100.730484	0.002653	14.767537	3.061294	-0.596430	0.000000	-0.596430	-0.165675	0.000284	0.000000
9.000000	0.000000	3.232956	0.304699	9.933982	100.730484	2.650802	100.730484	0.003591	14.768970	3.204345	-0.596430	0.000000	-0.894646	-0.165675	0.000182	0.000000
10.000000	0.000000	3.147125	0.296610	16.761587	100.730484	4.473228	100.813316	0.004370	14.767537	3.032684	-0.596430	0.000000	-0.894646	-0.248513	0.000292	0.000000
11.000000	0.000000	3.604889	0.339753	3.104183	100.813316	2.402289	100.730484	0.005245	14.775179	3.232956	-0.596430	0.000000	-0.596430	-0.165675	0.000319	0.000000
12.000000	2.122066	3.376007	0.318181	7.139194	100.813316	3.893366	100.813316	0.008817	14.771358	3.376007	-0.894646	0.000000	-0.596430	-0.165675	0.000434	0.000000
13.000000	18.037559	5.064010	0.477272	11.796603	100.813316	3.479178	100.813316	0.074889	14.799538	5.235672	-0.596430	0.000000	-0.894646	-0.082838	0.000691	0.000000
14.000000	57.295776	20.685194	1.949534	19.559868	100.813316	6.047143	100.730484	0.056765	15.060315	21.343229	-0.596430	0.000000	12.226825	3.396340	-0.033409	7.530121
15.000000	105.042256	61.340328	5.781190	23.284164	101.061829	6.212818	100.730484	0.498623	15.739004	59.909817	14.314331	3.727690	14.314331	3.976203	-0.117166	7.530121
16.000000	138.995309	108.575813	10.233029	18.937786	100.896156	4.970254	100.813316	0.979045	16.527544	108.547203	14.016116	3.893366	14.016116	3.893366	-0.203845	7.530121
17.000000	179.314559	140.876755	13.277321	31.668358	101.061829	12.342797	100.813316	0.716655	17.066769	140.991196	14.314331	3.976203	14.612547	4.059041	-0.235712	7.530121
18.000000	230.244137	182.733521	17.222229	25.455830	100.978996	6.792680	100.730484	1.374096	17.765518	182.132706	14.016116	3.976203	14.016116	4.059041	-0.307073	7.530121
19.000000	275.868552	233.745560	22.030000	27.008013	100.978996	7.206868	100.730484	2.085165	18.617103	233.688339	14.016116	3.976203	14.016116	4.059041	-0.396297	7.530121
20.000000	291.784045	279.064148	26.301176	23.903645	100.978996	12.922661	100.813316	1.434915	19.373643	279.178589	13.717901	3.893366	14.314331	3.976203	-0.432768	7.530121
21.000000	298.150242	293.169006	27.630528	32.908287	101.144669	8.780782	100.730484	0.667600	19.609107	294.399231	14.016116	3.893366	14.016116	3.810528	-0.433395	7.530121
22.000000	300.272308	300.922363	28.361265	31.357885	100.978996	7.041193	100.730484	0.839402	19.738540	301.551788	14.016116	3.893366	14.016116	3.893366	-0.445840	7.530121
23.000000	305.577473	303.697571	28.622822	29.184566	100.978996	9.360645	100.730484	1.129748	19.784868	304.098114	14.016116	3.893366	14.016116	3.893366	-0.454071	7.530121
24.000000	308.760571	308.618530	29.086611	21.421431	100.978996	8.035244	100.730484	0.907298	19.867018	309.219330	13.717901	3.893366	14.016116	3.893366	-0.450041	7.530121
25.000000	326.798131	312.423676	29.445238	22.663254	101.061829	11.017396	100.730484	2.772223	19.930540	312.194794	13.717901	3.893366	14.314331	3.976203	-0.509106	7.530121
26.000000	338.469492	328.474030	30.957948	39.119736	101.061829	11.017396	100.813316	0.965266	20.198482	328.903168	14.016116	3.976203	14.016116	3.893366	-0.496442	7.530121
27.000000	361.812216	341.634735	32.198315	33.218742	101.061829	20.626554	100.813316	1.648472	20.418184	341.749176	14.016116	3.976203	14.612547	4.059041	-0.539391	7.530121
28.000000	388.338038	364.208191	34.325813	38.496483	101.227509	12.591311	100.730484	2.737769	20.795021	365.409821	14.016116	3.976203	14.314331	3.976203	-0.592478	7.530121
29.000000	414.863860	389.957397	36.752619	43.461170	101.144669	15.407787	100.813316	2.677156	21.224873	390.186279	14.016116	3.976203	14.314331	3.976203	-0.626285	7.530121
30.000000	438.206584	416.765198	39.279195	36.633751	101.144669	10.603209	100.813316	3.094627	21.672397	417.623505	14.016116	3.976203	14.314331	3.976203	-0.664741	7.530121
31.000000	450.938979	441.141113	41.576570	36.635944	101.061829	13.254011	100.813316	2.334573	22.079324	442.085236	14.016116	3.976203	14.314331	3.976203	-0.681167	7.530121
32.000000	459.427242	453.586548	42.749525	28.872364	101.061829	7.703894	100.813316	2.175598	22.287086	454.330414	14.016116	3.976203	14.016116	3.893366	-0.683227	7.530121
33.000000	465.793439	462.684601	43.606996	29.182819	101.061829	9.857671	100.813316	1.716506	22.438967	463.085144	14.016116	3.976203	14.016116	3.893366	-0.693431	7.530121
34.000000	471.098604	469.407990	44.240661	26.079824	100.978996	10.686046	100.813316	1.985566	22.551206	469.865753	13.717901	3.976203	14.016116	3.893366	-0.698051	7.530121
35.000000	472.159637	474.300354	44.701755	31.357885	100.978996	6.627006	100.813316	1.361616	22.632878	474.443390	13.717901	3.976203	14.016116	3.810528	-0.683075	7.530121
36.000000	468.976538	475.559204	44.820399	25.146896	100.978996	4.059041	100.813316	0.752338	22.653893	475.215881	13.717901	3.893366	13.717901	3.810528	-0.690534	7.530121
37.000000	453.061045	471.982910	44.483341	23.906506	100.978996	6.378493	100.730484	-0.691815	22.594191	471.982910	13.717901	3.893366	13.717901	3.727690	-0.640001	7.530121
38.000000	423.352124	456.619232	43.035349	4.967288	101.061829	4.556066	100.730484	0.807782	22.337713	455.760925	13.717901	3.893366	13.717901	3.810528	-0.592796	7.530121
39.000000	392.582170	427.150696	40.258005	5.898655	101.061829	1.573914	100.730484	-0.665612	21.845771	426.378235	13.717901	3.893366	13.419685	3.727690	-0.576636	7.530121
40.000000	367.117380	397.081360	37.424036	0.620911	100.978996	-5.135929	100.730484	-0.389907	21.343799	396.823853	13.419685	3.893366	13.419685	3.727690	-0.529785	7.530121
41.000000	342.713624	370.874390	34.954088	4.967586	100.978996	0.911213	100.730484	-1.059837	20.906305	370.130524	13.717901	3.893366	13.419685	3.644853	-0.469590	7.530121
42.000000	307.699538	347.270935	32.729515	2.173189	100.978996	-1.988102	100.813316	-1.087043	20.512274	344.610199	13.717901	3.893366	13.419685	3.727690	-0.434427	7.530121
43.000000	266.319256	311.565369	29.364344	18.937786	100.978996	0.414188	100.730484	-0.986824	19.916212	311.708435	13.419685	3.893366	13.121470	3.644853	-0.376048	7.530121
44.000000	235.549302	270.137756	25.459884	14.901865	100.896156	-2.402289	100.730484	-0.820805	19.224627	269.508331	13.717901	3.893366	13.419685	3.644853	-0.325076	7.530121
45.000000	221.755874	239.639267	22.585469	3.415011	100.978996	-3.313503	100.730484	-0.295470	18.715491	239.524826	13.717901	3.893366	13.419685	3.727690	-0.312361	7.530121
46.000000	216.450710	224.904999	21.196797	10.244419	100.896156	4.721741	100.813316	0.298389	18.469520	224.275574	13.717901	3.893366	13.717901	3.810528	-0.312809	7.530121
47.000000	206.901414	219.697937	20.706043	21.420149	100.896156	5.715792	100.813316	-0.069822	18.382595	219.640717	13.717901	3.893366	13.717901	3.727690	-0.294269	7.530121
48.000000	195.230052	210.342392	19.824303	13.037571	100.896156	4.556066	100.730484	0.371054	18.226415	209.798798	13.717901	3.893366	13.717901	3.810528	-0.280875	7.530121
49.000000	188.863855	198.268875	18.686401	12.728677	100.896156	3.396340	100.813316	0.259858	18.024862	197.725281	13.717901	3.893366	13.717901	3.810528	-0.277710	7.530121
50.000000	188.863855	192.117676	18.106664	22.041023	100.896156	5.881467	100.730484	0.524703	17.922175	192.117676	13.717901	3.893366	14.016116	3.893366	-0.275902	7.530121
