Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	0.000000	0.000000	2.481860	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.894646	-0.248513	0.000000	0.000000
1.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
2.000000	0.000000	0.000000	0.000000	2.481860	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000002	0.000000
3.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
4.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
5.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.894646	-0.248513	0.000003	0.000000
6.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.596430	-0.248513	0.000003	0.000000
7.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.596430	-0.165675	0.000000	0.000000
8.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
9.000000	0.000000	0.000000	0.000000	2.482009	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
10.000000	0.000000	0.000000	0.000000	2.481860	100.730484	0.662701	100.730484	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.596430	-0.248513	0.000003	0.000000
11.000000	0.000000	0.000000	0.000000	2.481860	100.730484	0.662701	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
12.000000	2.122066	0.000000	0.000000	2.482009	100.730484	2.816477	100.730484	0.002997	0.000000	0.028610	-0.894646	0.000000	-0.596430	-0.165675	0.000155	0.000000
