Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-3.064990	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
1.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-2.982152	100.813316	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
2.000000	0.000000	0.000000	0.000000	-11.177068	100.730484	-3.064990	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
3.000000	0.000000	0.000000	0.000000	-11.177068	100.730484	-2.982152	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
4.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-3.064990	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
5.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-2.982152	100.813316	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
6.000000	0.000000	0.000000	0.000000	-11.176398	100.730484	-2.982152	100.813316	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
7.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-2.982152	100.730484	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
8.000000	0.000000	0.000000	0.000000	-12.109215	100.730484	-3.230665	100.730484	-0.000145	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
9.000000	0.000000	0.000000	0.000000	-11.177068	100.813316	-2.982152	100.813316	0.000000	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
10.000000	0.000000	0.000000	0.000000	-11.487542	100.730484	-3.064990	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000000	0.000000
11.000000	0.000000	0.000000	0.000000	-11.487542	100.730484	-2.982152	100.730484	0.000000	0.000000	-0.000000	-0.894646	0.000000	-0.894646	-0.248513	0.000003	0.000000
12.000000	2.122066	0.000000	0.000000	-11.177068	100.730484	-1.739589	100.730484	-0.001038	0.000000	0.028610	-0.894646	0.000000	-0.894646	-0.248513	0.000273	0.000000
