Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	Torque Est. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	Torque\sEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref
0.000000	0.000000	0.000000	0.000000	-0.931757	100.730484	-0.248513	100.730484	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.596430	-0.165675	0.000003	0.000000
1.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000002	0.000000
2.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000002	0.000000
3.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000002	0.000000
4.000000	0.000000	0.000000	0.000000	-0.931757	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
5.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
6.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
7.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
8.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.165675	100.730484	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000000	0.000000
9.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	0.028610	-0.596430	0.000000	-0.894646	-0.165675	0.000002	0.000000
10.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.730484	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000002	0.000000
11.000000	0.000000	0.000000	0.000000	-0.931701	100.730484	-0.248513	100.813316	0.000000	0.000000	-0.000000	-0.596430	0.000000	-0.596430	-0.165675	0.000002	0.000000
12.000000	10.610329	0.000000	0.000000	0.000000	100.730484	8.366594	100.730484	0.016540	0.000000	0.228882	-0.596430	0.000000	-0.298215	-0.082838	0.001616	0.000000
13.000000	22.281691	10.414123	0.981508	13.350387	100.813316	3.893366	100.730484	0.111094	39.504609	10.757445	6.858951	0.414188	19.085775	5.301604	-0.052016	19.680723
14.000000	50.929579	22.745131	2.143678	27.321722	101.061829	10.603209	100.813316	0.109778	45.163444	23.088453	18.787560	5.218767	20.875067	6.212818	-0.126649	22.662649
15.000000	96.553993	49.810406	4.694520	23.907936	101.227509	10.851721	100.813316	0.223971	88.622560	52.013393	28.330448	7.538218	44.135857	12.259960	-0.417752	44.728913
16.000000	150.666671	95.815651	9.030412	39.740685	101.724533	18.638453	100.730484	1.401523	144.620707	95.729820	56.362679	12.674148	56.362679	20.129528	-0.908618	72.759036
17.000000	210.084512	150.747284	14.207597	62.091103	102.387230	16.567513	100.813316	1.664570	171.346410	150.690063	71.869873	20.295204	83.500267	23.194519	-1.683288	86.475903
18.000000	270.563387	209.512695	19.746106	91.573418	103.132767	21.703442	100.730484	2.824986	183.318271	211.944565	87.377068	23.691544	92.148506	25.596807	-2.199546	92.439760
19.000000	323.615032	270.423859	25.486848	97.775925	103.546959	24.934107	100.730484	4.186087	190.577626	271.482452	91.552078	25.431133	93.639587	26.590858	-2.973868	96.018071
20.000000	369.239446	323.610291	30.499551	87.232780	103.464119	33.714890	100.813316	5.085171	168.841895	323.867767	86.482422	25.928158	84.394913	23.443031	-3.222850	84.984933
21.000000	411.680762	369.157776	34.792301	78.234795	103.049934	23.608707	100.813316	5.311831	147.357512	369.129150	80.816330	23.194519	73.957382	20.543716	-3.176676	74.250000
22.000000	455.183110	411.043152	38.739904	74.819778	102.718582	23.028843	100.813316	5.570203	137.622046	411.300629	71.869873	20.378042	71.869873	19.963854	-3.181202	69.478913
